"ID","Pred"
"2014_1107_1110",0.363424569507845
"2014_1107_1112",0.0897579726170786
"2014_1107_1113",0.310265201435459
"2014_1107_1124",0.221177691121613
"2014_1107_1140",0.228987246028586
"2014_1107_1142",0.702282126924091
"2014_1107_1153",0.145370103854577
"2014_1107_1157",0.425274898660173
"2014_1107_1160",0.261327142962657
"2014_1107_1163",0.155288846782971
"2014_1107_1166",0.161034354554886
"2014_1107_1173",0.234745004651005
"2014_1107_1174",0.221498108463356
"2014_1107_1181",0.141563336805523
"2014_1107_1184",0.272862597952476
"2014_1107_1196",0.0471730698903684
"2014_1107_1203",0.202790620582897
"2014_1107_1211",0.141660078634079
"2014_1107_1217",0.156270392281089
"2014_1107_1234",0.405334918288252
"2014_1107_1235",0.130476439746227
"2014_1107_1242",0.178782101358437
"2014_1107_1243",0.331092078242866
"2014_1107_1246",0.20337727266634
"2014_1107_1257",0.0905916098715068
"2014_1107_1264",0.192686055447767
"2014_1107_1269",0.23588219547275
"2014_1107_1272",0.24067262065574
"2014_1107_1273",0.257470880529736
"2014_1107_1276",0.130135041633255
"2014_1107_1277",0.168165031674066
"2014_1107_1291",0.513537129063391
"2014_1107_1295",0.178511966156624
"2014_1107_1300",0.185013048731534
"2014_1107_1301",0.304795746412467
"2014_1107_1304",0.284504690935083
"2014_1107_1307",0.115926664206616
"2014_1107_1308",0.254074026763861
"2014_1107_1314",0.192304733426769
"2014_1107_1326",0.213355226476941
"2014_1107_1328",0.220079996923645
"2014_1107_1329",0.33460232756405
"2014_1107_1332",0.208779570780834
"2014_1107_1338",0.214764437865274
"2014_1107_1344",0.23224922035073
"2014_1107_1361",0.113198522233614
"2014_1107_1372",0.0984970683436376
"2014_1107_1386",0.170834926456021
"2014_1107_1387",0.175857055141812
"2014_1107_1390",0.287822701239428
"2014_1107_1393",0.144751529797873
"2014_1107_1397",0.285312161050647
"2014_1107_1400",0.257398907686494
"2014_1107_1409",0.227815822328365
"2014_1107_1411",0.489286339181217
"2014_1107_1417",0.1481463816191
"2014_1107_1418",0.324110114994932
"2014_1107_1433",0.153010827515478
"2014_1107_1437",0.101214300110505
"2014_1107_1438",0.0921292707878704
"2014_1107_1444",0.218975878679709
"2014_1107_1451",0.443493734408938
"2014_1107_1454",0.423578451497219
"2014_1107_1455",0.0546751735679882
"2014_1107_1458",0.156000355125869
"2014_1107_1459",0.445686380979588
"2014_1107_1462",0.318309432367382
